Ticker,Sector,Market_Cap,Enterprise_Value,EBITDA,Free_Cash_Flow,EV/EBITDA,FCF_Yield,Debt/EBITDA,Revenue_Growth,Gross_Margins,Insider_Ownership,Institutional_Ownership,Intrinsic_Value,Discount_to_Intrinsic
AROC,Energy,6523236864,8833995776,849878976,148493376.0,10.394416176262725,0.01680931027875556,2.8107883821801942,0.077,0.66321,0.028789999,1.00094,2921599615.494422,-2.0236846038552834
ARRY,Technology,1325983360,2396902912,124834000,37324500.0,19.20072185462294,0.015571969900464621,6.113767210856016,-0.261,0.26108,0.00575,1.4031,655278240.4588299,-2.6578399281527703
ASGN,Technology,833931008,2102061056,357875008,,5.873729679385715,,4.085784230006919,0.0,0.28648,0.04067,1.0416,,
ASTE,Industrials,1147102336,1443788544,129000000,2725000.0,11.192159255813953,0.0018873954993786125,3.045736434108527,0.203,0.26379,0.01133,0.97662,88863284.85729656,-15.247301079613992
ATEN,Technology,2018108928,1853483392,66895000,50898376.0,27.707353195306077,0.027460929091508147,3.3894311981463487,0.134,0.79335,0.014939999,0.99742997,1265264941.9944897,-0.46489745387102654
ATKR,Industrials,2579481344,3024273152,286248000,254971008.0,10.565220200665157,0.08430819412968157,3.210045107738744,0.042,0.20871,0.01198,0.96969,4326019487.887061,0.3009108811303269
ATNI,Communication Services,413052800,1184540672,185727008,56613248.0,6.377859013375158,0.04779341844329681,3.7291022746675595,0.016,0.56753,0.35769,0.59975,858526116.5123432,-0.3797374933823224
ATRO,Industrials,2967166208,3248226816,129986000,1435375.0,24.989051251673256,0.00044189494185864145,2.916544981767267,0.12,0.31375998,0.02391,1.0968499,33717541.36101713,-95.33640784246118
AVA,Utilities,3401397760,6658821632,651000000,-252375008.0,10.228604657450077,-0.03790085122376199,5.078340817204301,-0.076,0.66561997,0.009,0.88632005,,
AVAV,Industrials,8363500544,8242099200,151164992,-304053504.0,54.52386224450698,-0.036890299015085865,5.464314065521203,1.434,0.25004998,0.0076599997,0.89935994,,
AVNT,Basic Materials,3187845376,4657509888,568200000,353775008.0,8.19695510031679,0.07595797250189328,3.387011559310102,0.025,0.32508,0.00841,1.04787,5578759741.538457,0.1651352444305844
AWR,Utilities,3033903360,3947006464,262988992,-20589376.0,15.008257318998355,-0.005216453580147975,3.53838007029587,0.143,0.57054,0.00823,0.83874,,
AXS,Financial Services,7202022912,8345752064,1483602048,67629504.0,5.625330643922109,0.008103464311110404,1.0067828000194294,0.08,0.31998,0.0083099995,0.99817,1347388027.7906904,-5.19402272534996
AYI,Industrials,8771390464,9083890688,767299968,430212512.0,11.83877370890233,0.04735993934496804,1.0533038364469214,0.049,0.48506,0.00423,1.01712,7520814342.036633,-0.20783339075753426
AZZ,Industrials,4404058624,4851555328,360684992,161175872.0,13.450948710391588,0.03322148488543425,1.497797346666423,0.094,0.23936,0.01844,0.97830003,3403393232.492116,-0.4255053696652841
BCC,Basic Materials,2442167808,2570301440,313020000,-25176624.0,8.21130100313079,-0.009795202853716644,1.7633378058909974,-0.025,0.16290002,0.012309999,1.02219,,
BCPC,Basic Materials,5175795200,5273499136,261222000,138136880.0,20.18780629502875,0.026194539230507612,0.7071150209400433,0.081,0.36275002,0.00468,0.94126,2763617782.7729926,-0.908186858860277
BDN,Real Estate,531558208,3139219712,189618000,82484496.0,16.55549426742187,0.026275477210051364,13.95602189665538,0.063,0.56657004,0.04422,0.78538,1530172987.5669537,-1.0515456340603069
BHR,Real Estate,190008624,1608775680,139031008,52432500.0,11.571344429869917,0.032591554342740935,8.435571552498562,-0.032,0.27001,0.16391,0.54813,920518060.3318892,-0.7476850800949655
BKE,Consumer Cyclical,2537265920,2573281536,286862016,150242496.0,8.970450573700214,0.058385564850996545,1.3379743381570601,0.053,0.58943003,0.38284,0.63479,2671571861.100482,0.03679119642321504
BKH,Utilities,5667773440,10350121984,819000000,-487224992.0,12.63751157997558,-0.047074323641130913,5.683394422466423,-0.03,0.39016,0.00488,0.98070997,,
BLD,Industrials,11627214848,14317914112,1020062976,396199744.0,14.03630408011201,0.027671610606180456,3.065890080888496,0.172,0.28963,0.0053600003,1.11396,11454586855.576984,-0.24997211095648772
BLDR,Industrials,7914255360,12972307456,1207911936,640900096.0,10.739448025456054,0.04940525023584517,4.381046904399494,-0.101,0.29888,0.02668,0.99833,11251802092.908817,-0.15290931611528172
BLMN,Consumer Cyclical,696900352,2624069376,304241984,228923248.0,8.624941704298115,0.0872397849286131,6.518636849278501,0.01,0.13453001,0.01353,0.89002997,3381831645.9177566,0.22406859632780926
BOOT,Consumer Cyclical,4452334592,4922258432,365335008,6181500.0,13.473273363389254,0.001255825976103483,1.9271790783324,0.16,0.38323003,0.00449,1.2175801,170461618.1088246,-27.876051316476268
BRBR,Consumer Defensive,1063942272,2265270016,311600000,182650000.0,7.26980107830552,0.08063056444040267,3.9226573555840822,0.018,0.30171,0.013940001,1.0825801,2794062744.0517898,0.18925585303247874
BRO,Financial Services,18906509312,25571983360,2486000128,1522499968.0,10.28639663851216,0.0595378131827472,3.2658888358673486,0.357,0.53372,0.1311,0.85016996,87205281147.34319,0.7067610697018081
BRSP,Real Estate,750401664,3259126784,186038000,-276787872.0,17.51860794031327,-0.08492700356390923,14.039196981261894,0.098,0.69835,0.07812,0.69113,,
