,Metrics
Return,0.15909333877544518
Volatility,0.13635286517578507
Sharpe_Ratio,0.873420141350979
Weight_SPY,0.5799021941627533
Weight_QQQ,0.15060779188589918
Weight_TLT,0.23164793426246713
Weight_GLD,0.02065483189522539
Weight_VNQ,0.017187247793654853
